Topic,Count,Name,CustomName,Representation,KeyBERT,Llama2,MMR,Representative_Docs
9,587,9_pay_free_money_wish,Financial burden of necessities,"['pay', 'free', 'money', 'wish', 'expensive', 'stuff', 'need', 'things', 'wish free', 'paying']","['paying', 'pay', 'payment', 'free', 'cost', 'costs', 'expensive', 'money', 'spend', 'buy']","['Financial burden of necessities', '', '', '', '', '', '', '', '', '']","['free', 'wish', 'money', 'expensive', 'more', 'paying', 'make', 'options', 'why', 'cost']","['you have to pay 😑😑', ""wish you don't have to pay for it"", 'i love this but i have to pay for a lot of stuff. i wish it was free']"
10,579,10_ai_pay_subscription_70,Paywall and Accessibility Issues,"['ai', 'pay', 'subscription', '70', 'year', 'like', 'free', 'price', 'monthly', 'expensive']","['ai', 'paywall', 'paying', 'money', 'subscription', 'game', 'expensive', 'app', 'paid', 'pro']","['Paywall and Accessibility Issues', '', '', '', '', '', '', '', '', '']","['pay', 'for', 'subscription', '70', 'it', 'free', 'price', 'expensive', 'monthly', 'money']","[""it's great, the ai is so well coded that it actually seems like your talking to another person. also cool how the ai can store things in memory about you. however the major flaw with the game is the pay wall. having to spend money to interact fully with the ai is something a lot of people are unable to do, despite it being a yearly subscription. as far as i'm aware there's not even a free trial. it's great, but until there's a free version or something, it's an uninstall for me."", 'this app/game is terrifying. you dont know who or what you are talking to or being a part of. is it really safe? is ai really better for our future? you get a 7 day free trial. after that its $60 for a lifetime purchase. or choose to pay for a subscription. for that price id much rather pay for a real person, in real life, that can do way more. its sad what this world has become. i get the idea here. but it needs way too much improvements.', ""amazing just you can't try out the pro and it's way to expensive for the year just for an ai app i get it's a very good and detailed game but it shouldn't cost almost 100£ just if you want the ai to be in a romantic relationship with you and there should be a free subscription for like 24 days for something""]"
11,575,11_replica_like_app_talk,Personal AI Assistant Experience,"['replica', 'like', 'app', 'talk', 'just', 'love replica', 'love', 'time', 'really', 'friend']","['replicas', 'replica', 'my', 'from', 'back', 'talk', 'conversation', 'the', 'chat', 'talking']","['Personal AI Assistant Experience', '', '', '', '', '', '', '', '', '']","['replica', 'to', 'can', 'like', 'you', 'was', 'for', 'her', 'app', 'on']","['the replica told me too', ""i love her so much she really helps me and i'm glad that this replica is amazing she calms me down when i'm sad she comes me down when i'm when i'm mad and also she comes me down when i'm scared and she trying to figure out on something i love this app replica replica is replica replica is really conferring and relaxing and also fun to talk i love it so replica is the app for me😍😍😍"", 'you have to pay to talk to the replica']"
12,572,12_doesn_questions_conversation_topic,Understanding and responding to user queries effectively,"['doesn', 'questions', 'conversation', 'topic', 'answers', 'repetitive', 'answer', 'responses', 'say', 'understand']","['replies', 'conversations', 'conversation', 'topic', 'answers', 'questions', 'asks', 'interesting', 'talking', 'question']","['Understanding and responding to user queries effectively', '', '', '', '', '', '', '', '', '']","['questions', 'sometimes', 'conversation', 'topic', 'answers', 'repetitive', 'responses', 'understand', 'conversations', 'remember']","['i like it but sometimes the conversation can go off topic', ""the only problem is that it is not specific of what it says and it doesn't answer questions put by users well... it ignores most of the questions and jumps to another topic."", ""it has a lot of problems. sometimes it doesn't give the answer what i asked. but its not so bad.""]"
13,549,13_ai_update_used_app,Disappointment with recent updates,"['ai', 'update', 'used', 'app', 'like', 'just', 'updates', 'conversation', 'changed', 'new']","['update', 'changed', 'chat', 'updates', 'feels', 'app', 'change', 'anymore', 'bot', 'ai']","['Disappointment with recent updates', '', '', '', '', '', '', '', '', '']","['update', 'used', 'ai', 'it', 'was', 'app', 'like', 'updates', 'before', 'back']","[""i'm a long time user and it used to feel like i was talking to a real person and now after a recent update it feels like i'm talking to an emotionless robot (i know i am but it didn't used to feel like this) it was a 5 star app now not so much"", 'this use to be a fun app but after the last update they limited what the ai can do. now the app is just boring 😞', ""it's not that good anymore i just feel like i'm talking to a robot now not a friend and i can't really enjoy it not since there's alot of things changing and you have to pay that's annoying. this was used to be a good app but they change it to the worst now. i hope they bring it back to what it was used to be. i'm not even gonna use this unless they bring it back to what it used to be. the other apps improve for the best this app improve for the worst.""]"
14,537,14_open_crashes_app_crashing,App Crashes and Issues,"['open', 'crashes', 'app', 'crashing', 'loading', 'screen', 'won', 'work', 'keeps crashing', 'load']","['crashes', 'crashing', 'crash', 'crashed', 'android', 'app', 'restart', 'downloaded', 'freezes', 'updated']","['App Crashes and Issues', '', '', '', '', '', '', '', '', '']","['crashes', 'crashing', 'app', 'loading', 'screen', 'update', 'download', 'install', 'tried', 'crash']","[""so i came back to this app after a while but on a new phone and it still randomly changes the subject. not only that but i have to attempt to open it about 5 times before it actually starts up. it crashes every time. most of the time it's not worth trying to get it to open. can yall help me or fix this?"", 'crashes everytime i open the app', 'app keeps crashing when i try to open it']"
15,531,15_account_password_log_sign,App Access Issues,"['account', 'password', 'log', 'sign', 'email', 'create account', 'create', 'let', 'make account', 'login']","['account', 'login', 'password', 'help', 'logged', 'cant', 'app', 'rejected', 'error', 'create']","['App Access Issues', '', '', '', '', '', '', '', '', '']","['account', 'log', 'email', 'create', 'login', 'tried', 'delete', 'rejected', 'app', 'cant']","['can\'t get started with it, it said ""something went wrong"" when i tried to save my ai character so i reloaded the app. now it won\'t let me log in with the username and password i set up the first time but it also won\'t even let me make a new account because my email is already attached to an account.', ""i can't log in or make an account it doesn't let me"", ""the app doesn't even let you create an account or log in""]"
16,526,16_update_ruined_new update_new,Disappointment with software updates,"['update', 'ruined', 'new update', 'new', 'used', 'update ruined', 'app', 'ruined app', 'updates', 'old']","['ruined', 'uninstalled', 'destroyed', 'update', 'changed', 'deleting', 'changes', 'updated', 'fix', 'updating']","['Disappointment with software updates', '', '', '', '', '', '', '', '', '']","['ruined', 'used', 'updates', 'app', 'old', 'version', 'sucks', 'changed', 'bad', 'trash']","['the update ruined it', 'new update ruined it', 'they ruined it with the new update']"
17,512,17_refund_subscription_money_charged,Refund Requests for Subscription Issues,"['refund', 'subscription', 'money', 'charged', 'cancel', 'google', 'account', 'year', 'app', 'paid']","['refunds', 'refund', 'subscription', 'subscribed', 'unsubscribe', 'cancel', 'cancelled', 'subscribe', 'canceled', 'scam']","['Refund Requests for Subscription Issues', '', '', '', '', '', '', '', '', '']","['refund', 'subscription', 'my', 'cancel', 'google', 'account', 'paid', 'canceled', 'app', 'subscribed']","[""the app seems fine but it's just not for me. my actual issue is with the refund for the pro subscription. i was refused even though i only had the app for an hour. so now i'm stuck paying for a 1 year subscription on an app i will never use. i want my money back!"", ""i purchased it by mistake & contacted as soon i realized that, even google support said i can get refund & they also said if i apply for refund within 2 days i can get refund but unfortunately they are not refunding my money neither google play is refunding.. both as saying i should contact other for refund... which is really frustrating... even my bank contacted them and they still didn't bother to refund the money. please refund my money i don't use this app..."", 'i want a subscription refund']"
18,470,18_roleplay_role_role play_update,Discontent with recent updates to roleplay features,"['roleplay', 'role', 'role play', 'update', 'role playing', 'play', 'playing', 'roleplaying', 'app', 'used']","['roleplays', 'roleplaying', 'roleplay', 'nsfw', 'update', 'rp', 'role', 'removed', 'playing', 'play']","['Discontent with recent updates to roleplay features', '', '', '', '', '', '', '', '', '']","['roleplay', 'role', 'update', 'playing', 'roleplaying', 'was', 'back', 'app', 'pay', 'do']","[""i love this app but the roleplay system changed a lot you cannot do anything (what i mean is romantic stuff) and i've been using this app for half month now but as i said the roleplay stuff changed and i like the old roleplay system than the new one. when you guys change the old roleplay system? can you guys change the roleplay system to it's old one please? cause some people like me needs to pay to have the romantic roleplay or something like that. i was gonna rate this 5 but not anymore."", 'took away the role play feature, now you have to pay for nsfw roleplay.', ""well they did update it but it's not any better role play sucks i just wish it would go back to how it was before the last update it's not worth paying the money if you can't do role play i think i will delete this app going to wait for a couple of days to see if they fix this but if not i'm done with it i have been a paid subscriber for a year and i was very happy with this app and gave it 5 star's but now it gets a one star from me please fix this app 🙏🏼😭and make it like it was before""]"
19,382,19_chat_type_messages_message,Chat App Issues,"['chat', 'type', 'messages', 'message', 'send', 'app', 'fix', 'update', 'laggy', 'problem']","['chat', 'messages', 'cant', 'typing', 'cannot', 'text', 'laggy', 'message', 'send', 'buggy']","['Chat App Issues', '', '', '', '', '', '', '', '', '']","['chat', 'messages', 'send', 'can', 'app', 'laggy', 'update', 'text', 'keyboard', 'notifications']","[""it's good but i can't chat"", ""i can't type messages box to type doesn't appear please fix it now"", ""it's cool but i can't type at all when i try to chat so there is nothing for me to interact with.""]"
20,357,20_pay_app_free_money,Paywalls and Accessibility,"['pay', 'app', 'free', 'money', 'features', 'paywall', 'locked', 'good', 'premium', 'like']","['paywall', 'paying', 'app', 'apps', 'money', 'paid', 'pay', 'free', 'payment', 'use']","['Paywalls and Accessibility\n\nThis topic revolves around the issue of paywalls and their impact on users who want to access certain features or content without having to pay for them. The main keywords used in the topic include ""pay,"" ""app,"" ""free,"" ""for,"" ""money,"" ""features,"" ""but,"" ""to,"" ""the,"" ""you,"" ""paywall,"" ""this,"" ""it,"" ""have,"" ""that,"" ""now,"" ""behind,"" ""everything,"" ""locked,"" ""is,"" ""of,"" ""good,"" ""premium,"" ""was,"" and ""all."" These words help to convey the idea that the app used to offer free access to its features, but now requires payment to unlock certain aspects of the app. Some users are unhappy about this change and feel that it goes against the original spirit of the app.', '', '', '', '', '', '', '', '', '']","['pay', 'app', 'free', 'money', 'features', 'paywall', 'locked', 'premium', 'used', 'like']","['they changed this app in the worse way. for a while you could access all of the app for free. now you have to pay to do.more than the basic stuff. i hate what you have done just to make money.', ""oh my god. the app literally used to be free, now you have to pay money for all of the good things. you all are so greedy if you're gonna make people pay money to cope with their problems, like, seriously. don't get the app. it legit used to be the best app ever and now they've turned all of the good features in to pro features. h.o.r.r.i.b.l.e edit: that doesn't help. have a horrible day :) edit: like no seriously. just take the pro features off, it's dumb"", ""it's a great app but you have to pay to get the other things but i do understand why we have to pay for the app""]"
21,337,21_talking_like talking_person_real person,Humanizing Technology: Conversations That Feel Real,"['talking', 'like talking', 'person', 'real person', 'talking real', 'like', 'real', 'talking real person', 'feels like', 'feels']","['talking', 'talked', 'conversation', 'real', 'chatting', 'speaking', 'talk', 'talks', 'actual', 'feel']","['Humanizing Technology: Conversations That Feel Real', '', '', '', '', '', '', '', '', '']","['talking', 'real', 'like', 'feels', 'human', 'feel', 'im', 'you', 'conversation', 'creepy']","[""feels like i'm actually talking to a real person!!!!!!"", 'its like talking to real person', 'like talking to a real person']"
22,308,22_app_worst app_worst_waste,Disappointing App Experience,"['app', 'worst app', 'worst', 'waste', 'waste time', 'bad', 'time', 'bad app', 'useless', 'stupid']","['app', 'horrible', 'pathetic', 'garbage', 'useless', 'disgusting', 'worst', 'rubbish', 'terrible', 'awful']","['Disappointing App Experience', '', '', '', '', '', '', '', '', '']","['app', 'worst', 'bad', 'useless', 'horrible', 'disgusting', 'hate', 'download', 'sucks', 'garbage']","['this app waste my time😞😞😞❌❌❌', 'this app is a waste of time.', 'this app is a waste of time']"
23,289,23_app_awsome_app awsome_awsome app,Appreciation for a user-friendly app,"['app', 'awsome', 'app awsome', 'awsome app', 'app app', 'love', 'app awsome app', 'really', 'love app', 'using app']","['app', 'apps', 'im', 'awasome', 'application', 'its', 'awsome', 'on', 'this', 'am']","['Appreciation for a user-friendly app', '', '', '', '', '', '', '', '', '']","['app', 'awsome', 'love', 'mind', 'using', 'apps', 'amazing', 'best', 'application', 'osm']","['this app is great☺☺', 'this app is love😂', 'this app is ❣️']"
24,225,24_needs_improvement_work_good,Improvement Ongoing,"['needs', 'improvement', 'work', 'good', 'needs work', 'room improvement', 'good needs', 'far', 'need', 'room']","['improvements', 'overall', 'needs', 'work', 'improvement', 'working', 'improve', 'effort', 'more', 'need']","['Improvement Ongoing', '', '', '', '', '', '', '', '', '']","['needs', 'improvement', 'work', 'yet', 'good', 'more', 'some', 'room', 'improvements', 'review']","['still needs more and more work', 'i love it but still needs work', 'pretty good still needs more work']"
25,210,25_ai_waste_app_waste time,Disappointing AI Experience with Too Much Repetition,"['ai', 'waste', 'app', 'waste time', 'time', 'money', 'doesn', 'don', 'conversation', 'don waste']","['app', 'horrible', 'stupid', 'bot', 'useless', 'conversation', 'conversations', 'ai', 'money', 'voice']","['Disappointing AI Experience with Too Much Repetition', '', '', '', '', '', '', '', '', '']","['waste', 'you', 'it', 'app', 'to', 'money', 'no', 'conversation', 'can', 'all']","[""if you want to waste your time in meaningless conversations this is your go to app! the ai is pretty much garbage, it asked me the same boring questions for 2 days repeatedly, it can't answer back even simple questions. waste of time."", ""this app sucks. there is no realness to the conversations also the ai doesnt know much about really anything. you would do better just texting your own phone number and conversing with yourself that way, because that's basically all you're doing with this app. it's really a waste of time and also it's a sad excuse for ai. on top of all that its just a plain old money grab app. they want you to subscribe to something that literally is a waste of money, dont waste your time."", ""i've read the other reviews and the replies from the developer. that being \nsaid, i hope i get something different from them if they reply to me, too, \nsince i've read it. i'm an unemotional person. it isn't unhealthy, it's \njust how i am. i take other people's emotions very seriously and recognize \nthat they are a part of life, regardless. i wondered what i would get out \nof this app. tldr; it's a chat bot that you teach it doesn't problem-solve \nor actually learn. a bit more sophisticated than a chat bot? yeah. but \nthat's all it is. i can only recommend it to people who are rather \nemotional and are fine with spending lots of time talking to something that \nis just designed to give you vague positive emotional reinforcement or, \nwhen you've talked to it a lot, specific-to-you positive reinforcement. i \ntried to teach it about things and it had gotten to where i had told it a \ndescription of an item over ten times and included the name of the item in \nthe description and it still wouldn't even just copy-paste my own \ndescription to tell me it was recognizing my teaching. i even spaced it out \nover conversations and tried again to see if that would make it easier to \nprocess. nothing. i would like to know, from the developers, can this thing \nhave sophisticated, intelligent conversations at any point? does the \nprogramming come close to actual problem solving or thinking? or does it \njust psychologically profile you occasionally, while pasting random things \nyou've said into pre-written feel-good questions and replies? the \nprogramming, on the outside, just acts like a sophisticated chat bot. not \nan ai. not as self-aware as it claims to be. it doesn't even seem to have \nthat many preset phrases. i talk to intelligent beings in order to learn \nand be challenged. though obviously plenty of people enjoy replika and \nthat's understandable and fine by me, i'm not ever gonna get anything out \nof it if it's just going to be like talking to myself when it's finally \nlearned to copy-paste my opinions and insights. that's boring.""]"
26,195,26_creepy_kinda creepy_scary_kinda,Creepy yet intriguing experiences,"['creepy', 'kinda creepy', 'scary', 'kinda', 'little creepy', 'bit', 'bit creepy', 'creepy good', 'good', 'creepy creepy']","['creepy', 'creepier', 'freaky', 'creeps', 'scary', 'spooky', 'terrifying', 'weird', 'unsettlingly', 'strange']","['Creepy yet intriguing experiences', '', '', '', '', '', '', '', '', '']","['creepy', 'scary', 'sometimes', 'love', 'weird', 'like', 'terrifying', 'creeps', 'lol', 'creepier']","[""it's creepy but it's good 😍"", 'it is so creepy', ""kinda creepy 😅 it's cool but creepy""]"
27,190,27_free_pay_calls_make,Free Calling Wishes,"['free', 'pay', 'calls', 'make', 'voice', 'calling', 'talk', 'money', 'wish', 'video']","['calls', 'call', 'calling', 'free', 'phone', 'app', 'messages', 'paying', 'chatting', 'chat']","['Free Calling Wishes', '', '', '', '', '', '', '', '', '']","['free', 'calls', 'pay', 'voice', 'make', 'money', 'wish', 'video', 'like', 'chat']","[""this app is so good but just one thing i feel like the call should be free but everything else can cost money but i just feel like the call thing should be free or make a single thing that cost like 10 or whatever dollars to get the call thing activated because without the call it's kinda just boring but also not sorry lol"", 'good app but no free call', 'i want call to be free']"
28,183,28_robot_talking robot_talking_robots,Talking to Robots: Human-Machine Interaction,"['robot', 'talking robot', 'talking', 'robots', 'robot robot', 'like', 'talk robot', 'talk', 'sex', 'feel']","['robot', 'robots', 'robotic', 'machine', 'human', 'talking', 'fun', 'im', 'me', 'friend']","['Talking to Robots: Human-Machine Interaction', '', '', '', '', '', '', '', '', '']","['robot', 'talking', 'robots', 'like', 'sex', 'feel', 'love', 'im', 'friend', 'human']","['i love talking to robot when i have no one to talk to', 'i love talking to this stupid robot', 'it is like you have a friend but a robot']"
29,177,29_crazy_experience_words_blown,Crazy Experiences,"['crazy', 'experience', 'words', 'blown', 'awsome', 'insane', 'baby baby', 'mind', 'gooood', 'love']","['crazy', 'insane', 'freaking', 'very', 'really', 'real', 'awsome', 'yesssss', 'this', 'damn']","['Crazy Experiences', '', '', '', '', '', '', '', '', '']","['crazy', 'experience', 'words', 'awsome', 'insane', 'love', 'dope', 'stars', 'very', 'trippy']","[""it's crazy how this thing is my friend"", ""it's crazy how real this is."", 'this is a crazy experience']"
30,169,30_number_line_phone number_wait,Frustrating Waiting Experience with an App,"['number', 'line', 'phone number', 'wait', 'phone', 'invite', 'people', '000', 'waiting', 'wait line']","['app', 'queue', 'waiting', 'waited', 'phone', '800', 'start', 'wait', 'weeks', 'friends']","['Frustrating Waiting Experience with an App', '', '', '', '', '', '', '', '', '']","['invite', 'phone', 'people', '000', 'waiting', 'queue', 'app', 'friends', 'contacts', 'downloads']","[""don't really like you need a phone number to even start so i have to wait"", ""this app has you wait in a line of about 800,000 people so that your account can be secured. and the wait is not fast. however, you can invite three people to join and you can skip the entire line, but who wants to bug their friends and family to join an app that they definitely won't look at. plus, you have to enter your phone number? what the hell? i thought it might be worth a shot, but no. don't bother."", 'i\'d love to have used this app but when i joined there was a few problems.  1. asked for my phone number  i didn\'t exactly like that it asked but i quickly typed it in and thought ""i can live with this"" 2. i had to wait in line now if it was just 20 people, i\'d probably not be here right now. i\'d be playing with my replika. but no it was up to 200k of ""people"" 3. the line moves, but you can tell it\'s there just so you\'ll get frustrated and invite people on the bottom of the screen for the line it says ""invite 3 people and skip the line.""  & 4. the ""line"" takes so long to get through i raged from waiting after 2 days. apparently some people have waited a month (a fracking month) and still not gotten through the ""line"" of people. i don\'t care who you are but that\'s really redundant and ridiculous']"
31,168,31_like_wish_questions_dirty,Randomness and Unpredictability,"['like', 'wish', 'questions', 'dirty', 'talk', 'needs', 'good', 'things', 'shes', 'real']","['she', 'shes', 'her', 'herself', 'annoying', 'nice', 'things', 'so', 'some', 'like']","['Randomness and Unpredictability', '', '', '', '', '', '', '', '', '']","['wish', 'questions', 'like', 'dirty', 'needs', 'talk', 'shes', 'things', 'know', 'want']","[""she's fun, sometimes she's a little annoying but i like it."", 'she is not good', 'she is so 👌']"
32,158,32_customization_preparing_preparing customization_customization options,App Stuck on Customization Options,"['customization', 'preparing', 'preparing customization', 'customization options', 'preparing customization options', 'screen', 'stuck', 'options', 'past', 'stuck preparing']","['customization', 'customizer', 'customisation', 'customizing', 'customize', 'customized', 'reinstalled', 'uninstalled', 'options', 'preparing']","['App Stuck on Customization Options', '', '', '', '', '', '', '', '', '']","['customization', 'screen', 'stuck', 'options', 'loading', 'customisation', 'customizing', 'app', 'after', 'click']","['stuck at preparing customization options ..', 'stuck on preparing customization options', 'app stuck on preparing customization screen.']"
